"UNIQUE_REFERENCE_NUMBER"|"NAME"|"POINTX_CLASSIFICATION_CODE"|"FEATURE_EASTING"|"FEATURE_NORTHING"|"POSITIONAL_ACCURACY_CODE"|"UPRN"|"TOPOGRAPHIC_TOID"|"TOPOGRAPHIC_TOID_VERSION"|"USRN"|"USRN_MATCH_INDICATOR"|"DISTANCE"|"ADDRESS_DETAIL"|"STREET_NAME"|"LOCALITY"|"GEOGRAPHIC_COUNTY"|"POSTCODE"|"ADMINISTRATIVE_BOUNDARY"|"TELEPHONE_NUMBER"|"URL"|"BRAND"|"QUALIFIER_TYPE"|"QUALIFIER_DATA"|"PROVENANCE"|"DATE_OF_SUPPLY"
95341741|"The Alma Inn"|"01020034"|331374.0|187492.0|1|100101055224|"osgb1000027569814"|10|27100377|1|18.5|"6-7"|"Commercial Road"|"Newport"|"Gwent"|"NP20 2PA"|"Casnewydd - Newport"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
141435322|"Clarence Food & Wine"|"02090811"|331451.0|188467.0|1|100101046563|"osgb1000027573510"|3|27100340|1|25.2|"26-28"|"Clarence Place"|"Newport"|"Gwent"|"NP19 0AE"|"Casnewydd - Newport"|""|"www.paypoint.co.uk"|"PayPoint"|""|""|"PayPoint"|"01-SEP-2021"
141285925|"Swift Driver Recruitment"|"02050078"|331566.0|188553.0|1|100100970556|"osgb1000027570650"|5|27100238|1|11.1|"21"|"Caerleon Road"|"Newport"|"Gwent"|"NP19 7BU"|"Casnewydd - Newport"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
141288954|"Home Style Furnishing Centre"|"02040067"|331832.0|188100.0|1|100100969732|"osgb1000027573077"|4|27100398|1|25.0|"130-134"|"Corporation Road"|"Newport"|"Gwent"|"NP19 0BH"|"Casnewydd - Newport"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
141445794|"Kj's Shape Up's"|"02100156"|331885.0|188422.0|1|100100970983|"osgb1000027572385"|6|27111812|1|6.7|"70"|"Chepstow Road"|"Newport"|"Gwent"|"NP19 8EB"|"Casnewydd - Newport"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
149636446|"Clarence Food & Wine"|"09470699"|331451.0|188467.0|1|200002965788|"osgb1000027573510"|3|27100340|1|25.2|"26-28"|"Clarence Place"|"Newport"|"Gwent"|"NP19 0AE"|"Casnewydd - Newport"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
162355250|"Sigma3"|"02140214"|331486.0|187632.0|1|200002952138|"osgb1000027569083"|10|27100909|1|10.8|"126"|"Lower Dock Street"|"Newport"|"Gwent"|"NP20 1EG"|"Casnewydd - Newport"|"01633252187"|"www.sigma3.co.uk"|"Sigma3"|""|""|"Local Data Company"|"01-SEP-2021"
163650562|"Baltika Supermarket"|"09470699"|331449.0|187311.0|1|10002149600|"osgb1000027569905"|6|27100377|1|12.9|"32"|"Commercial Road"|"Newport"|"Gwent"|"NP20 2PB"|"Casnewydd - Newport"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
105167730|"Mfg Newport"|"02100183"|331945.0|188449.0|1|100100970953|"osgb1000002715066693"|3|27111812|1|28.2|"57-59"|"Chepstow Road"|"Newport"|"Gwent"|"NP19 8BY"|"Casnewydd - Newport"|"01633255244"|""|"Esso"|""|""|"Experian"|"01-SEP-2021"
105169237|"Casnewydd Service Station"|"02100183"|331644.0|188534.0|1||"osgb1000027570851"|5|27100238|3|34.6|"17-25"|"Chepstow Road"|"Newport"|"Gwent"|"NP19 8BW"|"Casnewydd - Newport"|"01633263176"|"www.shell.co.uk"|"Shell"|""|""|"Experian"|"01-SEP-2021"
