UNIQUE_REFERENCE_NUMBER,NAME,POINTX_CLASSIFICATION_CODE,FEATURE_EASTING,FEATURE_NORTHING,POSITIONAL_ACCURACY_CODE,UPRN,TOPOGRAPHIC_TOID,TOPOGRAPHIC_TOID_VERSION,USRN,USRN_MATCH_INDICATOR,DISTANCE,ADDRESS_DETAIL,STREET_NAME,LOCALITY,GEOGRAPHIC_COUNTY,POSTCODE,ADMINISTRATIVE_BOUNDARY,TELEPHONE_NUMBER,URL,BRAND,QUALIFIER_TYPE,QUALIFIER_DATA,PROVENANCE,DATE_OF_SUPPLY
157516530,The Stand Off,1020034,292291.0,92982.0,1,100041143047.0,osgb1000012318226,12,14200493,2,13.3,Longbrook Street,City Centre,Exeter,Devon,EX4,Exeter District,,,,,,Local Data Company,01-SEP-2021
159228196,Pep&Co,9460656,292366.1,92945.0,1,100041045957.0,osgb1000012318201,6,14200757,1,34.7,14-15,Sidwell Street,Exeter,Devon,EX4 6NN,Exeter District,1392279474.0,www.pepandco.com/,Pep&Co,,,Local Data Company,01-SEP-2021
145665925,Christ Church,6340459,292862.8,93242.1,1,100041124528.0,osgb1000012323768,5,14200352,2,12.4,Grosvenor Place,,Exeter,Devon,EX1 2HJ,Exeter District,,,,Religion,Not Identified (Christian),Ordnance Survey,01-SEP-2021
129889029,"Charles Dickens, Thomas Latimer, Thomas Bury, and John Duntze Plaque",3200269,291740.0,92370.0,1,10013041995.0,osgb1000012291795,5,14200309,2,11.6,143,Fore Street,Exeter,Devon,EX4,Exeter District,,openplaques.org/plaques/13102,,Plaque Type,Not Supplied,Open Plaques,01-SEP-2021
96606432,DC Payments,2090141,291890.0,92655.0,1,10023124191.0,osgb1000012290397,4,14200593,3,57.0,Guildhall Shopping Centre,,Exeter,Devon,EX4 3HP,Exeter District,,,,,,VocaLink,01-SEP-2021
123708320,Santander,2090141,292008.1,92634.8,1,10013037714.0,osgb1000012290039,9,14200389,1,14.7,53 High Street,Exeter,,Devon,EX4 4HE,Exeter District,,,,,,VocaLink,01-SEP-2021
157736598,Cardtronics,2090141,292567.0,93120.0,1,10013039418.0,osgb1000042780787,5,14200757,1,25.8,51,Sidwell Street,Exeter,Devon,EX4 6NS,Exeter District,,,,,,VocaLink,01-SEP-2021
160009020,YCASH,2090141,292366.1,92945.0,1,100041045957.0,osgb1000012318201,6,14200757,1,34.7,14-15,Sidwell Street,Exeter,Devon,EX4 6NN,Exeter District,,,,,,VocaLink,01-SEP-2021
21841131,Bus Stop (College),10590732,291617.0,93169.0,1,,Not Assigned,0,14200580,3,30.8,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmdwj,Department for Transport,01-SEP-2021
21841133,Bus Stop (Hele Road),10590732,291428.0,93149.0,1,,Not Assigned,0,14200381,3,4.3,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmdjm,Department for Transport,01-SEP-2021
